Gene_ID	KOFAM
UHM102.35765__k141_52422_32	K01845
UHM102.35765__k141_23984_26	K02498
UHM102.35765__k141_23984_58	K01999
UHM102.35765__k141_23984_90	K01556
UHM102.35765__k141_19317_12	K19424
UHM102.35765__k141_519_3	K06901
UHM102.35765__k141_28800_60	K03466
UHM102.35765__k141_138516_63	NA
UHM102.35765__k141_52936_16	K03406
UHM102.35765__k141_38581_19	K02041
UHM102.35765__k141_38581_83	K08225
UHM102.35765__k141_48274_4	NA
UHM102.35765__k141_48274_68	NA
UHM102.35765__k141_19481_17	K10218
UHM102.35765__k141_124404_115	NA
UHM102.35765__k141_81431_36	NA
UHM102.35765__k141_81431_68	K21405
UHM102.35765__k141_81431_100	NA
UHM102.35765__k141_81444_8	NA
UHM102.35765__k141_143677_86	K02035
UHM102.35765__k141_143677_118	K17325
UHM102.35765__k141_143677_150	NA
UHM102.35765__k141_143677_182	NA
UHM102.35765__k141_143677_214	NA
UHM102.35765__k141_143677_246	K03547
UHM102.35765__k141_38733_42	K02014
UHM102.35765__k141_76818_8	NA
UHM102.35765__k141_76818_40	K07795
UHM102.35765__k141_81533_62	K00789
UHM102.35765__k141_1285_40	K00990
UHM102.35765__k141_1285_72	K01796
UHM102.35765__k141_33911_23	K01924
UHM102.35765__k141_33911_87	K07140
UHM102.35765__k141_33911_119	NA
UHM102.35765__k141_29291_29	NA
UHM102.35765__k141_133926_162	K00812
UHM102.35765__k141_10226_46	K09013
UHM102.35765__k141_53221_47	K07182
UHM102.35765__k141_67682_74	K02357
UHM102.35765__k141_67682_138	NA
UHM102.35765__k141_67682_202	K07225
UHM102.35765__k141_67682_234	NA
UHM102.35765__k141_67682_266	K01451
UHM102.35765__k141_67682_330	K05541
UHM102.35765__k141_67682_394	K04771
UHM102.35765__k141_67682_490	NA
UHM102.35765__k141_67682_554	K03631
UHM102.35765__k141_67682_650	K04771
UHM102.35765__k141_67682_650	K04772
UHM102.35765__k141_67682_682	K01784
UHM102.35765__k141_34046_36	NA
UHM102.35765__k141_110662_61	K01465
UHM102.35765__k141_110662_189	K00262
UHM102.35765__k141_148405_88	K07003
UHM102.35765__k141_148405_216	K00457
UHM102.35765__k141_106034_17	NA
UHM102.35765__k141_106034_49	K03088
UHM102.35765__k141_106034_49	K23514
UHM102.35765__k141_106034_209	NA
UHM102.35765__k141_34434_6	NA
UHM102.35765__k141_58495_120	K06041
UHM102.35765__k141_106200_2	K03576
UHM102.35765__k141_106200_34	NA
UHM102.35765__k141_106200_66	K10218
UHM102.35765__k141_15915_58	K14987
UHM102.35765__k141_15915_122	NA
UHM102.35765__k141_148725_42	K02612
UHM102.35765__k141_106371_33	NA
UHM102.35765__k141_78579_4	K03088
UHM102.35765__k141_78579_36	K02469
UHM102.35765__k141_78579_100	K03566
UHM102.35765__k141_78579_132	K00799
UHM102.35765__k141_16299_10	K11906
UHM102.35765__k141_117137_69	NA
UHM102.35765__k141_59197_6	NA
UHM102.35765__k141_25837_216	NA
UHM102.35765__k141_93037_24	K00821
UHM102.35765__k141_93037_56	K13985
UHM102.35765__k141_69425_94	K07137
UHM102.35765__k141_69425_222	NA
UHM102.35765__k141_149437_131	K00548
UHM102.35765__k141_149437_163	K10094
UHM102.35765__k141_149437_259	NA
UHM102.35765__k141_35790_25	K03664
UHM102.35765__k141_35790_89	NA
UHM102.35765__k141_11664_4	K15383
UHM102.35765__k141_11664_36	K00262
UHM102.35765__k141_22570_54	K23537
UHM102.35765__k141_11880_57	K00761
UHM102.35765__k141_11880_121	K22132
UHM102.35765__k141_11880_185	K07165
UHM102.35765__k141_11880_217	NA
UHM102.35765__k141_45535_7	NA
UHM102.35765__k141_45535_71	K02454
UHM102.35765__k141_45535_71	K02652
UHM102.35765__k141_7732_20	NA
UHM102.35765__k141_64970_226	NA
UHM102.35765__k141_107541_24	NA
UHM102.35765__k141_107541_56	NA
UHM102.35765__k141_103783_69	K02119
UHM102.35765__k141_107635_78	K03703
UHM102.35765__k141_107635_142	NA
UHM102.35765__k141_107635_174	K02231
UHM102.35765__k141_107635_302	NA
UHM102.35765__k141_46040_50	K01012
UHM102.35765__k141_84706_24	K00674
UHM102.35765__k141_12882_24	NA
UHM102.35765__k141_150784_167	NA
UHM102.35765__k141_150784_199	NA
UHM102.35765__k141_70930_28	NA
UHM102.35765__k141_85146_2	K03076
UHM102.35765__k141_13700_5	K03798
UHM102.35765__k141_18345_48	NA
UHM102.35765__k141_113299_22	K07795
UHM102.35765__k141_113299_118	K03781
UHM102.35765__k141_113299_182	NA
UHM102.35765__k141_113299_310	K02298
UHM102.35766__k141_118650_4	K14441
UHM102.35766__k141_102467_52	NA
UHM102.35766__k141_5498_230	K02313
UHM102.35766__k141_108000_33	NA
UHM102.35766__k141_102653_15	K01689
UHM102.35766__k141_65176_2	K00648
UHM102.35766__k141_32654_21	NA
UHM102.35766__k141_32654_53	K00762
UHM102.35766__k141_37989_21	K11942
UHM102.35766__k141_162336_5	K02863
UHM102.35766__k141_76077_41	NA
UHM102.35766__k141_140660_5	K00790
UHM102.35766__k141_102851_55	K00134
UHM102.35766__k141_130340_100	NA
UHM102.35766__k141_76531_25	K06997
UHM102.35766__k141_76531_57	K03446
UHM102.35766__k141_33417_34	K18144
UHM102.35766__k141_33417_98	K01451
UHM102.35766__k141_33417_130	NA
UHM102.35766__k141_135714_31	NA
UHM102.35766__k141_162765_165	K01961
UHM102.35766__k141_162765_293	K03561
UHM102.35766__k141_27739_19	K00285
UHM102.35766__k141_152338_6	K03424
UHM102.35766__k141_71453_37	NA
UHM102.35766__k141_71453_101	K08369
UHM102.35766__k141_71453_133	NA
UHM102.35766__k141_71453_197	K13933
UHM102.35766__k141_71453_229	K03216
UHM102.35766__k141_71453_261	K18456
UHM102.35766__k141_49790_21	K10680
UHM102.35766__k141_49790_53	NA
UHM102.35766__k141_71552_14	K03699
UHM102.35766__k141_12226_56	NA
UHM102.35766__k141_12226_216	K03555
UHM102.35766__k141_12226_280	NA
UHM102.35766__k141_12226_312	K00372
UHM102.35766__k141_17313_86	K00124
UHM102.35766__k141_17313_182	NA
UHM102.35766__k141_17313_342	K03719
UHM102.35766__k141_17313_406	NA
UHM102.35766__k141_17313_438	NA
UHM102.35766__k141_17313_470	NA
UHM102.35766__k141_120612_60	NA
UHM102.35766__k141_141352_30	NA
UHM102.35766__k141_82375_16	K00090
UHM102.35766__k141_82375_112	K02073
UHM102.35766__k141_82375_144	K00681
UHM102.35766__k141_82375_176	NA
UHM102.35766__k141_2320_31	K00799
UHM102.35766__k141_2320_31	K11209
UHM102.35766__k141_82395_15	NA
UHM102.35766__k141_82395_79	K07795
UHM102.35766__k141_82395_111	NA
UHM102.35766__k141_82395_175	K02224
UHM102.35766__k141_82395_303	K07112
UHM102.35766__k141_50404_58	NA
UHM102.35766__k141_163371_65	K01438
UHM102.35766__k141_163371_97	K07795
UHM102.35766__k141_163371_129	K03406
UHM102.35766__k141_163371_321	K01126
UHM102.35766__k141_163371_353	NA
UHM102.35766__k141_66763_16	K07240
UHM102.35766__k141_66763_240	K14160
UHM102.35766__k141_66763_272	K22491
UHM102.35766__k141_98879_27	NA
UHM102.35766__k141_23458_181	K01696
UHM102.35766__k141_142113_3	K02687
UHM102.35766__k141_39028_7	NA
UHM102.35766__k141_147716_3	K09014
UHM102.35766__k141_126160_45	NA
UHM102.35766__k141_126160_109	K07795
UHM102.35766__k141_131600_1	NA
UHM102.35766__k141_131600_33	NA
UHM102.35766__k141_131600_65	K01939
UHM102.35766__k141_131600_129	K03594
UHM102.35766__k141_131600_161	K01627
UHM102.35766__k141_131600_193	NA
UHM102.35766__k141_131600_225	K00336
UHM102.35766__k141_131600_289	K00052
UHM102.35766__k141_131600_321	K00059
UHM102.35766__k141_131600_353	K21908
UHM102.35766__k141_131600_417	K03634
UHM102.35766__k141_131600_449	K07794
UHM102.35766__k141_131600_513	K03688
UHM102.35766__k141_131600_577	K01693
UHM102.35766__k141_131600_609	K07001
UHM102.35766__k141_13401_10	K07456
UHM102.35766__k141_51493_4	NA
UHM102.35766__k141_105023_139	NA
UHM102.35766__k141_62261_28	K07165
UHM102.35766__k141_62261_124	K02058
UHM102.35766__k141_105193_29	K17103
UHM102.35766__k141_105193_61	K07275
UHM102.35766__k141_105193_125	K11754
UHM102.35766__k141_73475_6	K01998
UHM102.35766__k141_73475_38	K02624
UHM102.35766__k141_73475_70	K10007
UHM102.35766__k141_14013_35	K01251
UHM102.35766__k141_51846_6	NA
UHM102.35766__k141_171374_316	K00962
UHM102.35766__k141_171374_348	K00162
UHM102.35766__k141_132696_2	K19172
UHM102.35766__k141_4350_8	K01589
UHM102.35766__k141_133317_26	K02108
UHM102.35766__k141_79615_16	K00023
UHM102.35766__k141_79615_16	K00059
UHM102.35766__k141_106304_5	NA
UHM102.35766__k141_89802_9	K01703
UHM102.35766__k141_159396_8	NA
UHM102.35766__k141_159396_40	NA
UHM102.35766__k141_159396_72	NA
UHM102.35766__k141_159396_104	K09973
UHM102.35766__k141_159396_168	K01999
UHM102.35766__k141_159396_200	K02881
UHM102.35766__k141_159396_232	K25283
UHM102.35766__k141_159396_328	K01857
UHM102.35766__k141_69635_4	NA
UHM102.35766__k141_138861_21	K20074
UHM102.35766__k141_165686_12	K00500
UHM102.35766__k141_112911_3	K03411
UHM102.35766__k141_112911_35	K02394
UHM102.35766__k141_57977_129	K03644
UHM102.35766__k141_37051_47	K02160
UHM102.35766__k141_37051_79	K07231
UHM102.35766__k141_37051_111	K07795
UHM102.35766__k141_25241_65	K00549
UHM102.35766__k141_20812_35	NA
UHM102.35766__k141_58684_157	K01867
UHM102.35766__k141_53802_25	NA
UHM102.35767__k141_162794_43	K03585
UHM102.35767__k141_29048_56	K02768
UHM102.35767__k141_163214_35	K22130
UHM102.35767__k141_49891_51	K03566
UHM102.35767__k141_49891_51	K17850
UHM102.35767__k141_49891_83	K26063
UHM102.35767__k141_49891_115	K15553
UHM102.35767__k141_49891_147	K03286
UHM102.35767__k141_49891_179	K10531
UHM102.35767__k141_148906_11	NA
UHM102.35767__k141_21581_13	K02072
UHM102.35767__k141_21581_45	NA
UHM102.35767__k141_29575_21	K15550
UHM102.35767__k141_14592_95	NA
UHM102.35767__k141_29652_14	K03098
UHM102.35767__k141_29652_110	K02483
UHM102.35767__k141_114110_59	K07098
UHM102.35767__k141_114110_219	NA
UHM102.35767__k141_92889_32	NA
UHM102.35767__k141_157046_65	K13587
UHM102.35767__k141_129045_33	NA
UHM102.35767__k141_43920_28	NA
UHM102.35767__k141_43920_60	K07795
UHM102.35767__k141_43920_124	NA
UHM102.35767__k141_43920_156	K03608
UHM102.35767__k141_43920_188	K01295
UHM102.35767__k141_135395_14	K04077
UHM102.35767__k141_135395_78	K22369
UHM102.35767__k141_135395_174	NA
UHM102.35767__k141_135395_206	K02492
UHM102.35767__k141_135395_270	K07053
UHM102.35767__k141_135395_334	NA
UHM102.35767__k141_8694_28	K03601
UHM102.35767__k141_16134_15	NA
UHM102.35767__k141_178716_33	K07795
UHM102.35767__k141_178716_65	K07001
UHM102.35767__k141_107765_6	NA
UHM102.35767__k141_94861_54	K16898
UHM102.35767__k141_143681_130	K01716
UHM102.35767__k141_143681_162	K02033
UHM102.35767__k141_164497_1	NA
UHM102.35767__k141_179343_16	NA
UHM102.35767__k141_17181_5	K07774
UHM102.35767__k141_45358_54	NA
UHM102.35767__k141_150669_374	K07256
UHM102.35767__k141_102476_80	K07126
UHM102.35767__k141_102476_112	K02041
UHM102.35767__k141_51891_33	K00163
UHM102.35767__k141_51891_97	K08994
UHM102.35767__k141_73309_70	K09919
UHM102.35767__k141_179920_83	K02672
UHM102.35767__k141_179920_179	K01714
UHM102.35767__k141_159373_22	K04069
UHM102.35767__k141_52533_5	K01995
UHM102.35767__k141_52533_5	K01998
UHM102.35767__k141_52536_31	K03210
UHM102.35767__k141_61172_2	K06158
UHM102.35767__k141_145073_31	K07795
UHM102.35767__k141_145073_63	K19302
UHM102.35767__k141_145073_95	K02986
UHM102.35767__k141_145073_255	K01241
UHM102.35767__k141_209386_57	NA
UHM102.35767__k141_215033_25	K01886
UHM102.35767__k141_215033_57	NA
UHM102.35767__k141_145373_26	NA
UHM102.35767__k141_160817_4	NA
UHM102.35767__k141_75911_13	K17722
UHM102.35767__k141_166405_9	NA
UHM102.35767__k141_61952_35	K01147
UHM102.35767__k141_61952_67	NA
UHM102.35767__k141_61952_99	K01040
UHM102.35767__k141_61952_163	NA
UHM102.35767__k141_61952_195	K14998
UHM102.35767__k141_210580_65	K07795
UHM102.35767__k141_223824_31	K21394
UHM102.35767__k141_5229_7	K08357
UHM102.35767__k141_63282_31	NA
UHM102.35767__k141_63282_95	NA
UHM102.35767__k141_176577_2	NA
UHM102.35767__k141_162399_15	NA
UHM102.35767__k141_139443_16	K08301
UHM102.35767__k141_148451_115	NA
UHM102.35767__k141_112325_13	NA
UHM102.35767__k141_112325_77	K02656
UHM102.35767__k141_112325_109	NA
UHM125.35768__k141_150411_14	K04485
UHM125.35768__k141_150411_46	NA
UHM125.35768__k141_135374_27	K00097
UHM125.35768__k141_135374_27	K22024
UHM125.35768__k141_135374_59	K07795
UHM125.35768__k141_135374_187	NA
UHM125.35768__k141_135374_219	K10778
UHM125.35768__k141_135374_283	NA
UHM125.35768__k141_135374_379	NA
UHM125.35768__k141_101135_43	NA
UHM125.35768__k141_101135_139	K00605
UHM125.35768__k141_101135_267	K05275
UHM125.35768__k141_41184_1	K06153
UHM125.35768__k141_146593_17	K15578
UHM125.35768__k141_91114_25	K04487
UHM125.35768__k141_91114_89	K02297
UHM125.35768__k141_146810_53	K00799
UHM125.35768__k141_146810_53	K11209
UHM125.35768__k141_146810_117	K11206
UHM125.35768__k141_136480_46	K03117
UHM125.35768__k141_136480_110	K00657
UHM125.35768__k141_136480_142	K01473
UHM125.35768__k141_136480_174	K02034
UHM125.35768__k141_136480_206	K00799
UHM125.35768__k141_141394_51	K02488
UHM125.35768__k141_141394_83	K01733
UHM125.35768__k141_141394_179	K13936
UHM125.35768__k141_141394_275	K06941
UHM125.35768__k141_116163_55	NA
UHM125.35768__k141_116163_119	K07638
UHM125.35768__k141_116163_215	K24012
UHM125.35768__k141_112179_95	NA
UHM125.35768__k141_156793_79	K07795
UHM125.35768__k141_156793_111	K13598
UHM125.35768__k141_113389_15	NA
UHM125.35768__k141_113389_79	NA
UHM125.35768__k141_113389_111	K00227
UHM125.35768__k141_53175_12	K07090
UHM125.35768__k141_53175_108	NA
UHM125.35768__k141_53175_140	NA
UHM125.35768__k141_53175_172	K03271
UHM125.35768__k141_53175_236	K02014
UHM125.35768__k141_97485_46	NA
UHM125.35768__k141_113813_42	NA
UHM125.35768__k141_113813_74	NA
UHM125.35768__k141_113813_138	K11891
UHM125.35768__k141_113813_202	K03406
UHM125.35768__k141_157370_67	NA
UHM125.35768__k141_157370_163	K02035
UHM125.35768__k141_14750_95	NA
UHM125.35768__k141_14750_127	K01750
UHM125.35768__k141_128326_33	K03710
UHM125.35768__k141_128326_33	K05836
UHM125.35768__k141_128326_97	K09016
UHM125.35768__k141_128326_193	NA
UHM125.35768__k141_134143_25	K01426
UHM125.35768__k141_134143_57	K06949
UHM125.35768__k141_134143_121	K07795
UHM125.35768__k141_134143_153	K01056
UHM125.35768__k141_134143_217	K03070
UHM125.35768__k141_94141_12	K00074
UHM125.35768__k141_94141_172	K00127
UHM125.35768__k141_94141_204	K06915
UHM125.35768__k141_94141_300	K00939
UHM125.35768__k141_94141_492	K02529
UHM125.35768__k141_94141_492	K06145
UHM125.35768__k141_128918_54	NA
UHM125.35768__k141_128918_118	K00882
UHM125.35769__k141_35967_18	NA
UHM125.35769__k141_44838_53	K03656
UHM125.35769__k141_44838_53	K03657
UHM125.35769__k141_214578_42	K00523
UHM125.35769__k141_214578_74	NA
UHM125.35769__k141_187827_40	NA
UHM125.35769__k141_187827_72	NA
UHM125.35769__k141_187827_104	NA
UHM125.35769__k141_187827_168	K23775
UHM125.35769__k141_72414_22	K01999
UHM125.35769__k141_81679_5	NA
UHM125.35769__k141_99411_17	K06131
UHM125.35769__k141_99411_49	K11720
UHM125.35769__k141_99411_177	K07320
UHM125.35769__k141_99411_209	NA
UHM125.35769__k141_143580_25	NA
UHM125.35769__k141_206564_94	NA
UHM125.35769__k141_206564_126	NA
UHM125.35769__k141_206564_158	K01075
UHM125.35769__k141_206564_158	K07107
UHM125.35769__k141_251157_20	K05596
UHM125.35769__k141_143902_25	K02278
UHM125.35769__k141_64006_77	K20074
UHM125.35769__k141_64006_237	K02342
UHM125.35769__k141_64006_301	NA
UHM125.35769__k141_64006_365	K03711
UHM125.35769__k141_64006_493	K18303
UHM125.35769__k141_180333_26	NA
UHM125.35769__k141_180333_58	K09858
UHM125.35769__k141_135151_8	NA
UHM125.35769__k141_135151_72	K17713
UHM125.35769__k141_135151_104	K00375
UHM125.35769__k141_118201_60	NA
UHM125.35769__k141_118644_48	NA
UHM125.35769__k141_261541_2	NA
UHM125.35769__k141_10992_30	K02030
UHM125.35769__k141_29026_35	K02483
UHM125.35769__k141_29026_35	K07663
UHM125.35769__k141_91553_26	K14170
UHM125.35769__k141_198939_55	K00362
UHM125.35769__k141_234656_20	NA
UHM125.35769__k141_198993_11	K13069
UHM125.35769__k141_252394_6	K01999
UHM125.35769__k141_252394_6	K11959
UHM125.35769__k141_216649_275	K03750
UHM125.35769__k141_155028_14	K07222
UHM125.35769__k141_244290_52	NA
UHM125.35769__k141_244290_84	K01847
UHM125.35769__k141_271742_101	K18139
UHM125.35769__k141_271742_101	K18323
UHM125.35769__k141_47291_21	K05815
UHM125.35769__k141_47291_85	NA
UHM125.35769__k141_75715_10	K16137
UHM125.35769__k141_218193_19	NA
UHM125.35769__k141_218193_83	K02483
UHM125.35769__k141_146687_6	K03924
UHM125.35769__k141_254056_23	K03177
UHM125.35769__k141_23370_9	K25284
UHM125.35769__k141_211063_10	K17324
UHM125.35769__k141_218955_12	K04042
UHM125.35769__k141_218955_44	K00697
UHM125.35769__k141_201932_13	K02114
UHM125.35769__k141_148356_21	NA
UHM125.35769__k141_113121_4	NA
UHM125.35769__k141_283561_45	NA
UHM125.35769__k141_114521_1	K11712
UHM125.35769__k141_167933_76	K16012
UHM125.35769__k141_168810_53	K08683
UHM125.35769__k141_53429_36	K01640
UHM125.35769__k141_53429_68	NA
UHM125.35770__k141_232631_8	K03337
UHM125.35770__k141_273197_32	K01999
UHM125.35770__k141_50635_22	K13288
UHM125.35770__k141_50635_86	K02003
UHM125.35770__k141_50635_86	K09810
UHM125.35770__k141_50635_118	K00919
UHM125.35770__k141_151674_11	K00020
UHM125.35770__k141_131665_30	K00799
UHM125.35770__k141_131665_62	K00655
UHM125.35770__k141_192741_51	K06187
UHM125.35770__k141_151934_39	NA
UHM125.35770__k141_151934_71	NA
UHM125.35770__k141_121746_3	K01999
UHM125.35770__k141_283728_42	K02072
UHM125.35770__k141_283728_74	NA
UHM125.35770__k141_31055_1	NA
UHM125.35770__k141_102080_7	K01792
UHM125.35770__k141_41189_160	K00113
UHM125.35770__k141_41189_224	NA
UHM125.35770__k141_41189_256	K07795
UHM125.35770__k141_21848_6	K00640
UHM125.35770__k141_152892_25	K21007
UHM125.35770__k141_113088_49	K07795
UHM125.35770__k141_52162_11	K00344
UHM125.35770__k141_254393_63	K07154
UHM125.35770__k141_264147_42	NA
UHM125.35770__k141_82890_15	K00574
UHM125.35770__k141_244175_26	NA
UHM125.35770__k141_143411_13	K07447
UHM125.35770__k141_172908_22	NA
UHM125.35770__k141_295970_6	NA
UHM125.35770__k141_13263_9	NA
UHM125.35770__k141_225191_28	NA
UHM125.35770__k141_144419_36	NA
UHM125.35770__k141_225349_6	K07018
UHM125.35770__k141_225355_40	NA
UHM125.35770__k141_285349_27	K01895
UHM125.35770__k141_215695_22	NA
UHM125.35770__k141_216075_47	K01658
UHM125.35770__k141_216075_47	K01664
UHM125.35770__k141_84496_32	NA
UHM125.35770__k141_226509_2	NA
UHM125.35770__k141_166683_6	K01999
UHM125.35770__k141_306595_51	K02994
UHM125.35770__k141_174652_70	K03424
UHM125.35770__k141_55041_15	K07000
UHM125.35770__k141_227506_26	K05973
UHM125.35770__k141_187834_33	K21395
UHM125.35770__k141_35721_3	K07795
UHM125.35770__k141_287861_3	NA
UHM125.35770__k141_86439_6	K00799
UHM125.35770__k141_126111_33	K02611
UHM125.35770__k141_308008_11	K06042
UHM125.35770__k141_75906_54	K01935
UHM125.35770__k141_227714_4	K01265
UHM125.35770__k141_227714_36	NA
UHM125.35770__k141_76299_14	K02452
UHM125.35770__k141_208428_13	K05834
UHM125.35770__k141_98750_20	K02035
UHM125.35770__k141_47477_54	NA
UHM125.35770__k141_47477_86	K00817
UHM125.35770__k141_189768_31	K11529
UHM125.35770__k141_309226_77	K03852
UHM125.35770__k141_309226_109	K07165
UHM125.35770__k141_321649_6	K02864
UHM125.35770__k141_170522_2	K01451
UHM125.35770__k141_210247_26	NA
UHM125.35770__k141_100767_1	K02509
UHM125.35770__k141_100767_33	K00057
UHM125.35770__k141_90648_3	K03406
UHM125.35770__k141_90648_3	K03776
UHM125.35770__k141_211167_23	K13953
UHM125.35770__k141_211167_55	NA
UHM125.35770__k141_161347_39	NA
UHM125.35770__k141_8043_38	NA
UHM125.35770__k141_151447_5	K07649
UHM145.35771__k141_78934_17	NA
UHM145.35771__k141_106751_39	K07181
UHM145.35771__k141_106751_71	K07795
UHM145.35771__k141_92903_16	K01756
UHM145.35771__k141_116127_16	NA
UHM145.35771__k141_32607_7	K02040
UHM145.35771__k141_74385_86	NA
UHM145.35771__k141_93009_21	NA
UHM145.35771__k141_18693_4	NA
UHM145.35771__k141_18693_36	NA
UHM145.35771__k141_111535_19	NA
UHM145.35771__k141_111535_83	NA
UHM145.35771__k141_55865_54	K00873
UHM145.35771__k141_42095_7	NA
UHM145.35771__k141_55926_33	K05970
UHM145.35771__k141_55926_97	NA
UHM145.35771__k141_98053_21	NA
UHM145.35771__k141_5466_39	K07056
UHM145.35771__k141_46876_8	NA
UHM145.35771__k141_46876_72	K03561
UHM145.35771__k141_28980_44	K03424
UHM145.35771__k141_140027_26	K07795
UHM145.35771__k141_116544_12	NA
UHM145.35771__k141_116544_108	K01934
UHM145.35771__k141_116544_140	K01531
UHM145.35771__k141_71065_4	NA
UHM145.35771__k141_71065_36	K01997
UHM145.35771__k141_71065_68	NA
UHM145.35771__k141_67012_81	K03327
UHM145.35771__k141_67012_113	K00991
UHM145.35771__k141_67012_145	K00375
UHM145.35771__k141_67012_177	K02495
UHM145.35771__k141_112587_56	NA
UHM145.35771__k141_99275_202	K04077
UHM145.35771__k141_99275_298	K04567
UHM145.35771__k141_141237_92	K01876
UHM145.35771__k141_127688_49	NA
UHM145.35771__k141_127688_81	NA
UHM145.35771__k141_85386_181	NA
UHM145.35771__k141_57749_23	NA
UHM145.35771__k141_90726_191	NA
UHM145.35771__k141_90726_223	NA
UHM145.35771__k141_142034_5	K06911
UHM145.35771__k141_142034_101	K03531
UHM145.35771__k141_53940_2	K02014
UHM145.35771__k141_53940_2	K16090
UHM145.35771__k141_53940_130	K01451
UHM145.35771__k141_53940_162	K06911
UHM145.35771__k141_132810_19	K11737
UHM145.35771__k141_3414_33	K24119
UHM145.35771__k141_21337_9	NA
UHM145.35771__k141_68385_7	K00266
UHM145.35771__k141_36169_4	K01358
UHM145.35771__k141_36169_68	NA
UHM145.35771__k141_36169_100	NA
UHM145.35771__k141_36169_132	NA
UHM145.35771__k141_36169_164	K00963
UHM145.35771__k141_36169_196	K03518
UHM145.35771__k141_142807_35	K02029
UHM145.35771__k141_128718_13	K07056
UHM145.35771__k141_128718_45	K01963
UHM145.35771__k141_105144_5	K03498
UHM145.35771__k141_105144_101	K01995
UHM145.35771__k141_105144_229	NA
UHM145.35771__k141_105144_261	NA
UHM145.35771__k141_80478_15	K02014
UHM145.35771__k141_80478_15	K16088
UHM145.35771__k141_21995_29	NA
UHM145.35771__k141_21995_61	K02483
UHM145.35771__k141_91650_25	NA
UHM145.35771__k141_91650_57	K02016
UHM145.35771__k141_4538_13	NA
UHM145.35771__k141_4538_45	K00766
UHM145.35771__k141_4538_77	K21395
UHM145.35771__k141_138443_27	K03655
UHM145.35771__k141_87352_9	K02660
UHM145.35771__k141_87352_9	K03406
UHM145.35771__k141_87352_169	NA
UHM145.35771__k141_87352_201	NA
UHM145.35771__k141_87875_24	K07795
UHM145.35771__k141_78042_21	K00031
UHM145.35771__k141_64031_22	K01008
UHM145.35771__k141_64560_34	K00249
UHM145.35772__k141_80638_25	NA
UHM145.35772__k141_80638_89	K00575
UHM145.35772__k141_123104_10	K01992
UHM145.35772__k141_131681_11	K00525
UHM145.35772__k141_123138_2	NA
UHM145.35772__k141_93486_358	K07645
UHM145.35772__k141_93486_390	K01028
UHM145.35772__k141_93486_422	NA
UHM145.35772__k141_127313_79	K06916
UHM145.35772__k141_127313_271	K10441
UHM145.35772__k141_127313_527	K19295
UHM145.35772__k141_127313_847	K03088
UHM145.35772__k141_127313_847	K23514
UHM145.35772__k141_102139_185	K03215
UHM145.35772__k141_102139_281	K01270
UHM145.35772__k141_85557_32	K07090
UHM145.35772__k141_85557_64	K03298
UHM145.35772__k141_5007_74	K01749
