over1717.1710_UHM102.10840__k141_51827_1	K18555
over1717.1710_UHM125.35769__k141_232756_19	NA
over1717.1710_UHM125.35769__k141_277499_38	K12972
over1717.1710_UHM125.35769__k141_72414_22	K01999
over1717.1710_UHM125.35769__k141_27890_107	NA
over1717.1710_UHM125.35769__k141_269584_46	NA
over1717.1710_UHM125.35769__k141_1530_9	NA
over1717.1710_UHM125.35769__k141_188580_6	NA
over1717.1710_UHM125.35769__k141_270416_7	NA
over1717.1710_UHM125.35769__k141_189741_59	K02510
over1717.1710_UHM125.35769__k141_226529_15	K07347
over1717.1710_UHM125.35769__k141_191516_19	NA
over1717.1710_UHM125.35769__k141_210239_87	NA
over1717.1710_UHM125.35769__k141_246607_32	K03329
over1717.1710_UHM125.35769__k141_148761_2	K02674
over1717.1710_UHM125.35770__k141_303325_14	NA
over1717.1710_UHM125.35770__k141_303450_17	NA
over1717.1710_UHM125.35770__k141_151934_71	NA
over1717.1710_UHM125.35770__k141_203293_80	NA
over1717.1710_UHM125.35770__k141_152892_25	K21007
over1717.1710_UHM125.35770__k141_274401_21	NA
over1717.1710_UHM125.35770__k141_295268_16	NA
over1717.1710_UHM125.35770__k141_234079_1	NA
over1717.1710_UHM125.35770__k141_165328_7	NA
over1717.1710_UHM125.35770__k141_234616_128	K13472
over1717.1710_UHM125.35770__k141_299193_82	NA
over1717.1710_UHM125.35770__k141_299193_114	NA
over1717.1710_UHM125.35770__k141_299193_178	K01706
over1717.1710_UHM125.35770__k141_37250_156	NA
over1717.1710_UHM145.35771__k141_93009_21	NA
over1717.1710_UHM145.35771__k141_55865_54	K00873
over1717.1710_UHM145.35771__k141_55926_33	K05970
over1717.1710_UHM145.35771__k141_55926_97	NA
over1717.1710_UHM145.35771__k141_4959_256	K04940
over1717.1710_UHM145.35771__k141_33287_3	K02238
over1717.1710_UHM145.35771__k141_33728_24	NA
over1717.1710_UHM145.35771__k141_121887_79	NA
over1717.1710_UHM145.35771__k141_145241_102	K17466
over1717.1710_UHM145.35771__k141_71246_176	K02035
over1717.1710_UHM145.35771__k141_71246_176	K15580
over1717.1710_UHM145.35771__k141_99275_202	K04077
over1717.1710_UHM145.35771__k141_99275_298	K04567
over1717.1710_UHM145.35771__k141_141237_92	K01876
over1717.1710_UHM145.35771__k141_1962_65	NA
over1717.1710_UHM145.35771__k141_132265_82	NA
over1717.1710_UHM145.35771__k141_85386_181	NA
over1717.1710_UHM145.35771__k141_53940_2	K02014
over1717.1710_UHM145.35771__k141_53940_2	K16090
over1717.1710_UHM145.35771__k141_68385_7	K00266
over1717.1710_UHM145.35771__k141_95261_7	K03188
over1717.1710_UHM145.35771__k141_80478_15	K02014
over1717.1710_UHM145.35771__k141_80478_15	K16088
over1717.1710_UHM145.35771__k141_138443_27	K03655
over1717.1710_UHM145.35772__k141_29948_4	NA
over1717.1710_UHM145.35772__k141_21596_23	K10109
over1717.1710_UHM145.35772__k141_68207_21	NA
over1717.1710_UHM145.35772__k141_102139_185	K03215
over1717.1710_UHM145.35772__k141_102139_281	K01270
over1717.1710_UHM145.35772__k141_60364_195	NA
over1717.1710_UHM145.35772__k141_13553_189	K05896
over1717.1710_UHM145.35772__k141_111365_103	K03110
over1717.1710_UHM145.35772__k141_68858_7	K00963
over1717.1710_UHM145.35772__k141_98888_12	NA
over1717.1710_UHM145.35772__k141_98888_76	NA
over1717.1710_UHM145.35772__k141_18482_33	K15726
over1717.1710_UHM145.35772__k141_98949_124	NA
over1717.1710_UHM145.35772__k141_116606_67	NA
over1717.1710_UHM145.35772__k141_86729_2	NA
over1717.1710_UHM145.35772__k141_74074_147	NA
over1717.1710_UHM145.35772__k141_31778_46	NA
over1717.1710_UHM145.35772__k141_35479_74	K06199
over1717.1710_UHM145.35772__k141_15309_13	NA
over1717.1710_UHM145.35772__k141_104243_1	NA
over1717.1710_UHM145.35772__k141_133952_349	K07040
over1717.1710_UHM145.35772__k141_28868_66	K09475
over1717.1710_UHM145.35772__k141_28868_66	K09476
over1717.1710_UHM145.35772__k141_89048_219	K01870
over1717.1710_UHM145.35772__k141_70499_335	K01682
over1717.1710_UHM145.35772__k141_25235_131	K00331
over1717.1710_UHM145.35772__k141_25235_227	NA
over1717.1710_UHM145.35772__k141_25235_323	K01945
over1717.1710_UHM145.35772__k141_72118_174	K03496
over1717.1710_UHM145.35772__k141_72118_366	K02906
over1717.1710_UHM145.35772__k141_72118_398	K01284
over1717.1710_UHM145.35773__k141_230620_3	K01643
over1717.1710_UHM145.35773__k141_255308_30	NA
over1717.1710_UHM145.35773__k141_91390_18	NA
over1717.1710_UHM145.35773__k141_59382_94	K07320
over1717.1710_UHM145.35773__k141_207245_138	K02510
over1717.1710_UHM145.35773__k141_207245_138	K12660
over1717.1710_UHM145.35773__k141_2567_159	NA
over1717.1710_UHM145.35773__k141_79693_27	NA
over1717.1710_UHM145.35773__k141_4977_33	NA
over1717.1710_UHM145.35773__k141_170581_14	K04095
over1717.1710_UHM145.35773__k141_139043_11	K07709
over1717.1710_UHM145.35773__k141_48572_27	K02939
over1717.1710_UHM145.35773__k141_180165_1	NA
over1717.1710_UHM17.10826__k141_181728_1	K06158
over1717.1710_UHM17.10826__k141_146766_9	K00033
over1717.1710_UHM17.10826__k141_92654_2	NA
over1717.1710_UHM17.10826__k141_187819_1	K00548
over1717.1710_UHM17.10826__k141_301002_8	K09017
over1717.1710_UHM17.35740__k141_61772_14	NA
over1717.1710_UHM17.35740__k141_141880_98	NA
over1717.1710_UHM18.10827__k141_40537_21	NA
over1717.1710_UHM18.10827__k141_41104_3	K06158
over1717.1710_UHM18.10827__k141_72261_60	NA
over1717.1710_UHM18.10827__k141_90765_1	NA
over1717.1710_UHM18.10827__k141_109029_13	NA
over1717.1710_UHM18.10827__k141_87246_34	NA
over1717.1710_UHM18.10827__k141_102258_16	NA
over1717.1710_UHM18.10827__k141_28876_270	NA
over1717.1710_UHM18.10827__k141_60748_6	NA
over1717.1710_UHM18.10827__k141_39128_2	K07107
over1717.1710_UHM18.35741__k141_40855_2	K01835
over1717.1710_UHM18.35741__k141_90741_2	K00616
over1717.1710_UHM18.35741__k141_4836_26	NA
over1717.1710_UHM18.35741__k141_95127_3	K03590
over1717.1710_UHM18.35741__k141_140701_38	K05807
over1717.1710_UHM18.35741__k141_86891_4	K06207
over1717.1710_UHM18.35741__k141_55222_6	NA
over1717.1710_UHM18.35741__k141_91515_2	K01624
over1717.1710_UHM18.35741__k141_55754_3	NA
over1717.1710_UHM18.35741__k141_46556_2	K07106
over1717.1710_UHM18.35741__k141_6284_3	K02564
over1717.1710_UHM18.35741__k141_133757_3	K24217
over1717.1710_UHM18.35741__k141_24162_2	K00294
over1717.1710_UHM18.35741__k141_33825_1	K06168
over1717.1710_UHM18.35741__k141_102402_1	NA
over1717.1710_UHM18.35741__k141_76299_24	K01200
over1717.1710_UHM18.35741__k141_85586_4	K02469
over1717.1710_UHM18.35741__k141_35890_30	NA
over1717.1710_UHM18.35742__k141_82641_6	K20455
over1717.1710_UHM18.35742__k141_172200_28	NA
over1717.1710_UHM18.35742__k141_103447_189	K01928
over1717.1710_UHM18.35742__k141_69108_4	K00937
over1717.1710_UHM18.35742__k141_151837_194	NA
over1717.1710_UHM18.35742__k141_28005_52	K03543
over1717.1710_UHM18.35742__k141_28005_180	K01963
over1717.1710_UHM18.35742__k141_28005_212	K10764
over1717.1710_UHM18.35742__k141_28005_244	K06894
over1717.1710_UHM18.35742__k141_193368_50	K07637
over1717.1710_UHM18.35742__k141_103998_24	NA
over1717.1710_UHM18.35742__k141_200256_27	NA
over1717.1710_UHM18.35742__k141_111370_11	NA
over1717.1710_UHM18.35742__k141_152342_3	K00344
over1717.1710_UHM18.35742__k141_42379_123	K00239
over1717.1710_UHM18.35742__k141_174395_10	NA
over1717.1710_UHM18.35742__k141_133855_3	K02343
over1717.1710_UHM18.35742__k141_215974_22	K01190
over1717.1710_UHM18.35742__k141_50369_120	K01657
over1717.1710_UHM18.35742__k141_50369_184	K21572
over1717.1710_UHM18.35742__k141_119751_2	K04485
over1717.1710_UHM18.35742__k141_92983_382	K00259
over1717.1710_UHM18.35742__k141_92983_382	K00324
over1717.1710_UHM18.35742__k141_79994_4	NA
over1717.1710_UHM18.35742__k141_120608_67	K01745
over1717.1710_UHM18.35742__k141_136531_110	K01752
over1717.1710_UHM18.35742__k141_54383_237	NA
over1717.1710_UHM20.10828__k141_35501_6	NA
over1717.1710_UHM20.10828__k141_64585_39	NA
over1717.1710_UHM20.10828__k141_88691_17	NA
over1717.1710_UHM20.35743__k141_37455_29	NA
over1717.1710_UHM20.35743__k141_87144_4	K13788
over1717.1710_UHM20.35743__k141_125108_28	NA
over1717.1710_UHM20.35743__k141_13256_2	K02863
over1717.1710_UHM20.35743__k141_46841_1	K03624
over1717.1710_UHM20.35743__k141_84010_23	K02837
over1717.1710_UHM20.35743__k141_125504_86	K01784
over1717.1710_UHM20.35743__k141_38984_7	K03497
over1717.1710_UHM20.35743__k141_30888_13	NA
over1717.1710_UHM20.35743__k141_105268_161	K00128
over1717.1710_UHM20.35743__k141_130388_9	K15540
over1717.1710_UHM20.35743__k141_76825_67	K21573
over1717.1710_UHM20.35743__k141_4006_24	K15987
over1717.1710_UHM20.35743__k141_18824_350	K02014
over1717.1710_UHM20.35743__k141_78218_22	K01719
over1717.1710_UHM20.35743__k141_40957_39	K21573
over1717.1710_UHM20.35743__k141_8237_27	K01875
over1717.1710_UHM20.35743__k141_8237_59	K06373
over1717.1710_UHM20.35743__k141_8237_59	K06374
over1717.1710_UHM20.35743__k141_15217_7	K00602
over1717.1710_UHM20.35743__k141_57625_7	NA
over1717.1710_UHM20.35744__k141_131702_59	NA
over1717.1710_UHM20.35744__k141_72554_31	K07351
over1717.1710_UHM20.35744__k141_118524_342	K09955
over1717.1710_UHM20.35744__k141_118524_374	NA
over1717.1710_UHM20.35744__k141_46800_61	NA
over1717.1710_UHM20.35744__k141_46800_93	NA
over1717.1710_UHM20.35744__k141_126465_161	K21087
over1717.1710_UHM20.35744__k141_132790_3	K19304
over1717.1710_UHM20.35744__k141_80465_1	K00962
over1717.1710_UHM20.35744__k141_80465_97	NA
over1717.1710_UHM20.35744__k141_191945_154	NA
over1717.1710_UHM20.35744__k141_191945_186	K24847
over1717.1710_UHM20.35744__k141_87145_26	K01811
over1717.1710_UHM20.35744__k141_87243_34	K07734
over1717.1710_UHM20.35744__k141_134037_95	NA
over1717.1710_UHM20.35744__k141_134612_19	NA
over1717.1710_UHM20.35744__k141_155084_335	K02931
over1717.1710_UHM20.35744__k141_175877_2	NA
over1717.1710_UHM20.35744__k141_136002_3	K02500
over1717.1710_UHM20.35744__k141_77342_161	K00024
over1717.1710_UHM20.35744__k141_183793_14	K02355
over1717.1710_UHM20.35744__k141_183793_46	K00281
over1717.1710_UHM22.35745__k141_106765_4	K01737
over1717.1710_UHM22.35745__k141_45627_137	NA
over1717.1710_UHM22.35745__k141_90575_209	K03657
over1717.1710_UHM22.35745__k141_90575_529	K15727
over1717.1710_UHM22.35745__k141_17269_59	NA
over1717.1710_UHM22.35745__k141_37594_1	NA
over1717.1710_UHM22.35745__k141_78462_91	K05366
over1717.1710_UHM22.35745__k141_1504_55	K03406
over1717.1710_UHM22.35745__k141_1504_55	K05876
over1717.1710_UHM22.35745__k141_38263_11	NA
over1717.1710_UHM22.35745__k141_103732_155	NA
over1717.1710_UHM22.35745__k141_54695_226	K01887
over1717.1710_UHM22.35745__k141_54695_290	NA
over1717.1710_UHM22.35745__k141_83420_104	K03813
over1717.1710_UHM22.35745__k141_88371_115	NA
over1717.1710_UHM22.35745__k141_88371_147	K15726
over1717.1710_UHM22.35745__k141_5466_94	NA
over1717.1710_UHM22.35745__k141_50516_364	K00626
over1717.1710_UHM22.35745__k141_50516_364	K00632
over1717.1710_UHM22.35745__k141_43177_14	K18138
over1717.1710_UHM22.35745__k141_43177_14	K18142
over1717.1710_UHM22.35745__k141_84395_113	NA
over1717.1710_UHM22.35745__k141_39700_118	K18900
over1717.1710_UHM22.35745__k141_77793_126	NA
over1717.1710_UHM22.35745__k141_77793_158	K00691
over1717.1710_UHM22.35745__k141_101221_50	K21573
over1717.1710_UHM22.35745__k141_101221_434	K01883
over1717.1710_UHM22.35745__k141_64139_190	K01222
over1717.1710_UHM22.35745__k141_60579_272	NA
over1717.1710_UHM22.35746__k141_4851_80	NA
over1717.1710_UHM22.35746__k141_33915_16	K02406
over1717.1710_UHM22.35746__k141_91996_22	NA
over1717.1710_UHM22.35746__k141_10104_438	K12257
over1717.1710_UHM22.35746__k141_10104_534	K03702
over1717.1710_UHM22.35746__k141_106907_73	NA
over1717.1710_UHM22.35746__k141_54517_293	NA
over1717.1710_UHM22.35746__k141_97825_29	K00525
over1717.1710_UHM22.35746__k141_97825_93	K05989
over1717.1710_UHM22.35746__k141_15455_201	K06020
over1717.1710_UHM22.35746__k141_117234_127	NA
over1717.1710_UHM22.35746__k141_131809_103	NA
over1717.1710_UHM22.35746__k141_117567_181	K02671
over1717.1710_UHM22.35746__k141_59210_64	K00847
over1717.1710_UHM22.35746__k141_55676_39	K00853
over1717.1710_UHM22.35746__k141_117683_365	NA
over1717.1710_UHM22.35746__k141_17038_52	NA
over1717.1710_UHM22.35746__k141_12257_16	NA
over1717.1710_UHM22.35746__k141_66824_62	K03455
over1717.1710_UHM22.35747__k141_4648_191	NA
over1717.1710_UHM22.35747__k141_107797_53	NA
over1717.1710_UHM22.35747__k141_24596_229	NA
over1717.1710_UHM22.35747__k141_24596_325	NA
over1717.1710_UHM22.35747__k141_84973_23	K15539
over1717.1710_UHM22.35747__k141_56395_129	NA
over1717.1710_UHM22.35747__k141_56395_577	NA
over1717.1710_UHM22.35747__k141_9504_113	K00217
over1717.1710_UHM22.35747__k141_52536_278	K05813
over1717.1710_UHM22.35747__k141_96776_67	K07592
over1717.1710_UHM22.35747__k141_96776_67	K14057
over1717.1710_UHM22.35747__k141_105096_392	NA
over1717.1710_UHM22.35747__k141_101285_56	K02523
over1717.1710_UHM22.35747__k141_101285_184	K03977
over1717.1710_UHM22.35747__k141_56704_44	K05349
over1717.1710_UHM22.35747__k141_56704_268	NA
over1717.1710_UHM22.35747__k141_50548_29	NA
over1717.1710_UHM22.35747__k141_24731_171	K02003
over1717.1710_UHM22.35747__k141_24731_491	NA
over1717.1710_UHM22.35747__k141_42361_189	NA
over1717.1710_UHM22.35747__k141_42361_413	K01687
over1717.1710_UHM27.10829__k141_23622_46	NA
over1717.1710_UHM27.10829__k141_177330_14	NA
over1717.1710_UHM27.10829__k141_108398_45	K03574
over1717.1710_UHM31.10830__k141_90906_32	K01697
over1717.1710_UHM31.10830__k141_100653_221	K01812
over1717.1710_UHM31.10830__k141_19816_12	K15540
over1717.1710_UHM31.10830__k141_71515_76	K21573
over1717.1710_UHM31.10830__k141_6917_32	K03205
over1717.1710_UHM31.10830__k141_87824_42	K01823
over1717.1710_UHM31.10830__k141_42491_86	K01644
over1717.1710_UHM31.10830__k141_7059_57	K03522
over1717.1710_UHM31.10830__k141_1255_16	NA
over1717.1710_UHM31.10830__k141_94552_64	K14059
over1717.1710_UHM31.10830__k141_65976_6	K07592
over1717.1710_UHM31.10830__k141_65976_6	K14057
over1717.1710_UHM31.10830__k141_75815_246	K03556
over1717.1710_UHM31.10830__k141_76952_16	NA
over1717.1710_UHM31.35748__k141_8586_17	NA
over1717.1710_UHM31.35748__k141_21355_100	K03187
over1717.1710_UHM31.35748__k141_126922_1	NA
over1717.1710_UHM31.35748__k141_118261_3	NA
over1717.1710_UHM31.35748__k141_93299_59	NA
over1717.1710_UHM31.35748__k141_76721_30	NA
over1717.1710_UHM31.35748__k141_19899_5	K15408
over1717.1710_UHM31.35748__k141_44458_70	K25775
over1717.1710_UHM31.35748__k141_28342_45	NA
over1717.1710_UHM31.35749__k141_107087_16	K02558
over1717.1710_UHM31.35749__k141_31883_43	NA
over1717.1710_UHM31.35749__k141_63854_256	NA
over1717.1710_UHM31.35749__k141_132430_45	K07677
over1717.1710_UHM31.35749__k141_108778_19	K01679
over1717.1710_UHM31.35749__k141_165894_212	K15125
over1717.1710_UHM31.35749__k141_133906_96	NA
over1717.1710_UHM31.35749__k141_148736_1	K03841
over1717.1710_UHM31.35749__k141_18027_11	K03791
over1717.1710_UHM31.35749__k141_167741_12	K00074
over1717.1710_UHM33.10831__k141_49822_61	NA
over1717.1710_UHM33.10831__k141_74636_5	NA
over1717.1710_UHM33.10831__k141_30246_3	K00948
over1717.1710_UHM33.10831__k141_38775_25	NA
over1717.1710_UHM33.10831__k141_2872_86	K01952
over1717.1710_UHM36.10832__k141_60362_2	NA
over1717.1710_UHM36.10832__k141_120342_122	K00088
over1717.1710_UHM36.10832__k141_48554_5	K01661
over1717.1710_UHM36.10832__k141_169715_1	NA
over1717.1710_UHM36.10832__k141_187068_246	NA
over1717.1710_UHM36.10832__k141_43056_261	K21006
over1717.1710_UHM36.10832__k141_68194_2	K03147
over1717.1710_UHM36.10832__k141_146583_134	K03446
over1717.1710_UHM36.10832__k141_158305_33	NA
over1717.1710_UHM36.10832__k141_115866_61	K00341
over1717.1710_UHM36.10832__k141_115866_93	NA
over1717.1710_UHM36.10832__k141_115866_157	K03593
over1717.1710_UHM36.10832__k141_26074_7	K01676
over1717.1710_UHM36.10832__k141_152311_143	K05539
over1717.1710_UHM36.10832__k141_3018_93	K02557
over1717.1710_UHM36.10832__k141_93009_66	K02886
over1717.1710_UHM36.10832__k141_141612_180	NA
over1717.1710_UHM36.10832__k141_171716_9	NA
over1717.1710_UHM36.10832__k141_20931_2	K01338
over1717.1710_UHM36.10832__k141_84207_1	NA
over1717.1710_UHM36.10832__k141_10822_55	K13482
over1717.1710_UHM36.35750__k141_93522_145	K02014
over1717.1710_UHM36.35750__k141_30545_64	K01756
over1717.1710_UHM36.35750__k141_90552_280	K07795
over1717.1710_UHM36.35750__k141_70523_58	NA
over1717.1710_UHM36.35750__k141_21107_110	K02673
over1717.1710_UHM36.35750__k141_34689_83	K02014
over1717.1710_UHM36.35750__k141_70872_249	NA
over1717.1710_UHM36.35750__k141_12145_111	K08225
over1717.1710_UHM36.35750__k141_12145_239	K00451
over1717.1710_UHM36.35750__k141_52792_102	NA
over1717.1710_UHM36.35750__k141_92015_1	K02992
over1717.1710_UHM36.35751__k141_261_1	NA
over1717.1710_UHM36.35751__k141_40517_325	NA
over1717.1710_UHM36.35751__k141_35614_12	K08167
over1717.1710_UHM36.35751__k141_2560_488	NA
over1717.1710_UHM36.35751__k141_7851_21	K02014
over1717.1710_UHM36.35751__k141_17971_363	K01190
over1717.1710_UHM36.35751__k141_76022_368	K03699
over1717.1710_UHM36.35751__k141_33132_10	K07795
over1717.1710_UHM36.35751__k141_73859_257	NA
over1717.1710_UHM36.35751__k141_69298_58	K07347
over1717.1710_UHM36.35751__k141_15751_399	NA
over1717.1710_UHM36.35751__k141_13512_213	K26061
over1717.1710_UHM36.35751__k141_54235_12	NA
over1717.1710_UHM36.35751__k141_61513_42	K00639
over1717.1710_UHM36.35751__k141_61513_266	K01599
over1717.1710_UHM36.35751__k141_61513_298	K20276
over1717.1710_UHM36.35751__k141_16307_15	NA
over1717.1710_UHM36.35751__k141_18741_225	K04561
over1717.1710_UHM38.10833__k141_30745_1	NA
over1717.1710_UHM38.35752__k141_90301_16	K07795
over1717.1710_UHM38.35752__k141_113106_24	K05349
over1717.1710_UHM38.35752__k141_128240_31	K09781
over1717.1710_UHM38.35752__k141_120548_18	NA
over1717.1710_UHM38.35752__k141_45874_27	K01940
over1717.1710_UHM38.35752__k141_211320_150	NA
over1717.1710_UHM38.35752__k141_211320_182	NA
over1717.1710_UHM38.35752__k141_226258_4	K02948
over1717.1710_UHM38.35752__k141_31350_1	NA
over1717.1710_UHM38.35752__k141_144166_168	K06942
over1717.1710_UHM38.35752__k141_235847_419	K01687
over1717.1710_UHM38.35752__k141_206128_227	K06987
over1717.1710_UHM38.35752__k141_146062_4	K01951
over1717.1710_UHM38.35752__k141_34031_1	NA
over1717.1710_UHM38.35752__k141_11430_1	NA
over1717.1710_UHM38.35752__k141_177127_131	K03495
over1717.1710_UHM38.35752__k141_140021_169	K03587
over1717.1710_UHM38.35752__k141_162269_67	K03723
over1717.1710_UHM38.35752__k141_162269_99	K00333
over1717.1710_UHM38.35753__k141_567_135	K02897
over1717.1710_UHM38.35753__k141_98520_1	K02652
over1717.1710_UHM38.35753__k141_225137_98	NA
over1717.1710_UHM38.35753__k141_209444_78	K09945
over1717.1710_UHM38.35753__k141_51371_29	K11381
over1717.1710_UHM38.35753__k141_51371_317	K03534
over1717.1710_UHM40.10834__k141_24456_1	K03307
over1717.1710_UHM40.10834__k141_52422_59	NA
over1717.1710_UHM40.10834__k141_44606_126	K07165
over1717.1710_UHM40.10834__k141_112632_2	K00849
over1717.1710_UHM40.10834__k141_74168_3	K12573
over1717.1710_UHM40.10834__k141_21753_2	K01495
over1717.1710_UHM40.10834__k141_78799_1	K12251
over1717.1710_UHM40.35754__k141_74246_21	NA
over1717.1710_UHM40.35754__k141_74246_117	K12243
over1717.1710_UHM40.35754__k141_13190_74	K01969
over1717.1710_UHM40.35754__k141_70072_7	NA
over1717.1710_UHM40.35754__k141_18053_1	K02233
over1717.1710_UHM40.35754__k141_131871_29	NA
over1717.1710_UHM40.35754__k141_13701_480	K00765
over1717.1710_UHM40.35754__k141_92799_17	K03596
over1717.1710_UHM40.35754__k141_101638_326	NA
over1717.1710_UHM40.35754__k141_54441_129	K01265
over1717.1710_UHM40.35754__k141_67833_5	NA
over1717.1710_UHM40.35754__k141_108160_232	K00337
over1717.1710_UHM40.35754__k141_108160_488	K00560
over1717.1710_UHM40.35754__k141_108160_584	K01201
over1717.1710_UHM40.35755__k141_24530_10	K00645
over1717.1710_UHM40.35755__k141_98257_13	K07795
over1717.1710_UHM40.35755__k141_142219_149	K18138
over1717.1710_UHM40.35755__k141_88712_252	K18929
over1717.1710_UHM40.35755__k141_88712_348	NA
over1717.1710_UHM40.35755__k141_66157_90	NA
over1717.1710_UHM40.35755__k141_66157_378	K03466
over1717.1710_UHM40.35755__k141_90295_537	K02372
over1717.1710_UHM40.35755__k141_90295_537	K02535
over1717.1710_UHM40.35755__k141_90295_537	K16363
over1717.1710_UHM40.35755__k141_67360_22	K01113
over1717.1710_UHM41.10835__k141_62031_4	K02014
over1717.1710_UHM41.10835__k141_62031_4	K16088
over1717.1710_UHM41.10835__k141_28839_13	K17467
over1717.1710_UHM41.10835__k141_76741_1	NA
over1717.1710_UHM41.10835__k141_86476_67	K00702
over1717.1710_UHM41.10835__k141_86476_67	K13688
over1717.1710_UHM41.10835__k141_39371_17	K02982
over1717.1710_UHM41.35756__k141_40322_4	NA
over1717.1710_UHM41.35756__k141_1926_3	NA
over1717.1710_UHM41.35756__k141_45714_6	K07795
over1717.1710_UHM41.35756__k141_106102_348	K01649
over1717.1710_UHM41.35757__k141_197883_250	K00259
over1717.1710_UHM41.35757__k141_197883_250	K00324
over1717.1710_UHM41.35757__k141_109431_280	K01733
over1717.1710_UHM41.35757__k141_52012_27	NA
over1717.1710_UHM41.35757__k141_97588_851	K02357
over1717.1710_UHM41.35757__k141_161867_11	K08717
over1717.1710_UHM41.35757__k141_188175_167	K03589
over1717.1710_UHM41.35757__k141_195851_5	K03779
over1717.1710_UHM43.10836__k141_114438_2	NA
over1717.1710_UHM43.10836__k141_161216_524	K01933
over1717.1710_UHM43.10836__k141_63839_26	NA
over1717.1710_UHM43.10836__k141_18548_4	K06907
over1717.1710_UHM43.10836__k141_162195_6	NA
over1717.1710_UHM43.10836__k141_28381_11	NA
over1717.1710_UHM43.10836__k141_101202_104	NA
over1717.1710_UHM43.10836__k141_146915_919	K02600
over1717.1710_UHM43.10836__k141_163085_81	K00382
over1717.1710_UHM43.10836__k141_163085_433	K15738
over1717.1710_UHM44.10837__k141_10283_32	K18346
over1717.1710_UHM44.10837__k141_942_30	NA
over1717.1710_UHM44.10837__k141_5905_63	NA
over1717.1710_UHM44.10837__k141_60831_2	K20509
